SEQNOS,FIRE_INVOLVED,FIRE_EXTINGUISHED,ANY_EVACUATIONS,NUMBER_EVACUATED,WHO_EVACUATED,RADIUS_OF_EVACUATION,ANY_INJURIES,NUMBER_INJURED,NUMBER_HOSPITALIZED,ANY_FATALITIES,NUMBER_FATALITIES,ANY_DAMAGES,DAMAGE_AMOUNT,AIR_CORRIDOR_CLOSED,AIR_CORRIDOR_DESC,AIR_CLOSURE_TIME,WATERWAY_CLOSED,WATERWAY_DESC,WATERWAY_CLOSURE_TIME,ROAD_CLOSED,ROAD_DESC,ROAD_CLOSURE_TIME,CLOSURE_DIRECTION,MAJOR_ARTERY,TRACK_CLOSED,TRACK_DESC,TRACK_CLOSURE_TIME,MEDIA_INTEREST,MEDIUM_DESC,ADDITIONAL_MEDIUM_INFO,BODY_OF_WATER,TRIBUTARY_OF,NEAREST_RIVER_MILE_MAKER,RELEASE_SECURED,ESTIMATED_DURATION_OF_RELEASE,RELEASE_RATE,DESC_REMEDIAL_ACTION,STATE_AGENCY_ON_SCENE,STATE_AGENCY_REPORT_NUM,OTHER_AGENCY_NOTIFIED,WEATHER_CONDITIONS,AIR_TEMPERATURE,WIND_SPEED,WIND_DIRECTION,WATER_SUPPLY_CONTAMINATED,SHEEN_SIZE,SHEEN_COLOR,DIRECTION_OF_SHEEN_TRAVEL,SHEEN_ODOR_DESCRIPTION,WAVE_CONDITION,CURRENT_SPEED,CURRENT_DIRECTION,WATER_TEMPERATURE,TRACK_CLOSE_DIR,EMPL_FATALITY,PASS_FATALITY,COMMUNITY_IMPACT,WIND_SPEED_UNIT,EMPLOYEE_INJURIES,PASSENGER_INJURIES,OCCUPANT_FATALITY,CURRENT_SPEED_UNIT,ROAD_CLOSURE_UNITS,TRACK_CLOSURE_UNITS,SHEEN_SIZE_UNITS,ADDITIONAL_INFO,STATE_AGENCY_NOTIFIED,FEDERAL_AGENCY_NOTIFIED,NEAREST_RIVER_MILE_MARKER,SHEEN_SIZE_LENGTH,SHEEN_SIZE_LENGTH_UNITS,SHEEN_SIZE_WIDTH,SHEEN_SIZE_WIDTH_UNITS,OFFSHORE,DURATION_UNIT,RELEASE_RATE_UNIT,RELEASE_RATE_RATE,PASSENGERS_TRANSFERRED
1200886,Y,Y,Y,4,PRIVATE CITIZENS,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,NONE,AIR,/ ATMOSPHERE,,,,Y,,,"* GAS WAS SHUT-OFF AT 0545., INVESTIGATION IS UNDERWAY.",,,,UNKNOWN,,,,U,,,,,,,,,,,,,,,,,,,,,* THE RP WILL NOTIFY TX-RRC.,,,,,,,,N,,,,NO
1200887,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,CYPRIEN BAY,CYPRIEN BAY,GULF OF MEXICO,,Y,,,"CALLER REPORTS THE SHEEN IS CONTAINED UNDER THE PLATFORM BY WIND, AND A BOOM IS BEING DEPLOYED AROUND IT. THE VALVE WAS SHUT OFF AND ISOLATED.",,,,CLEAR,33,,,U,,RAINBOW,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1200888,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,/ ATMOSPHERE- NO OFF SITE IMPACT,,,,N,,,UNKNOWN,,,,CLEAR,,,,U,,,,,,,,,,,,,,,,,,,,,* WEATHER: WINDY,,,,,,,,N,,,,NO
1200889,N,U,N,,,,N,,,Y,1,N,,N,,,N,,,N,,,,N,Y,ADAM 1,1.9,UNKNOWN,RAIL REPORT (N/A),,,,,U,,,SERVICE WAS DIVERTED ONTO ANOTHER TRACK UNTIL THE BODY WAS REMOVED.,,,,,,,,U,,,,,,,,,S,,,,,,,,,,,,,PTSB,,,,,,,N,,,,NO
1200890,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,/ ENGINE ROOM,,,,N,,,* WILL TRY TO ISOLATED THE RELEASE,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,N,,,,NO
1200891,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,/ GULF OF MEXICO,GULF OF MEXICO,,,Y,,,"* DECK WAS DRAINED, CREW CLEANED WHAT THEY COULD.",,,,,,40,,U,,SILVERY,,,5     VERY ROUGH (8 - 12 FT),,,,,,,,KNTS,,,,,,,,,,,,10,FEET,10,FEET,Y,,,,NO
1200892,N,U,N,,,,Y,1,1,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,RAIL REPORT (N/A),,,,,U,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1200893,N,U,N,,,,N,,,Y,1,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,RAIL REPORT (N/A),TRESPASSER FATALITY,,,,U,,,"POLICE AND FIRE DEPARTMENTS ARE ONSCENE, INVESTIGATION IS UNDERWAY AT THIS TIME, INDIVIDUAL PASSED AWAY AT 1203.",PD/FD,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1200894,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,GALVESTON BAY,GALVESTON BAY,,,U,,,UNKNOWN,,,,,,,,U,,RAINBOW,,,,,,,,,,,,,,,,,,,,,,,100,FEET,30,FEET,N,,,,NO
1200895,N,U,N,,,,N,,,Y,1,N,,N,,,N,,,N,,,,N,Y,MAIN LINE,,UNKNOWN,RAIL REPORT (N/A),TRESPASSER FATALITY,,,,U,,,"POLICE AND FIRE DEPTS ARE ONSCENE, INVESTIGATION IS UNDERWAY AT THIS TIME.",PD/FD,,,,,,,U,,,,,,,,,N/S,,,,,,,,,,,,TRACK CLOSURE IS STILL ONGOING AT THIS TIME.,,,,,,,,N,,,,NO
1200896,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,LAND,GROUND / BUILDING,,,,Y,,,"USED ABSORBENT PADS AROUND DRAIN, PERSONNEL IS ENROUTE TO DETERMINE WHAT ACTIONS WILL BE TAKEN FOR CLEAN UP, VALVES WERE TURNED OFF TO AREA WATERWAYS.",,,,,,,,U,,,,,,,,,,,,,,,,,,,,,RP WILL MAKE OTHER NOTIFICATIONS AFTER THIS CALL.,,,,,,,,N,,,,NO
1200897,N,U,N,,,,N,,,Y,1,N,,N,,,N,,,U,,,,N,U,,,UNKNOWN,RAIL REPORT (N/A),,,,,U,,,LOCAL AUTHORITIES ARE EN ROUTE.,LOCAL AUTHORITIES,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1200898,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,Y,MAIN LINE,,UNKNOWN,RAIL REPORT (N/A),RAIL CAR MALFUNCTION,,,,U,,,"MECHANICAL DEPARTMENT IS EN ROUTE, CONTRACTORS ARE HEADING TO THE SCENE TO INVESTIGATE AND REMEDIATE.",,,,,,,,U,,,,,,,,,,,,,,,,,,,,,TRACK CLOSURE IS ONGOING AT THIS TIME.,ONEIDA SHERIFF DEPT,,,,,,,N,,,,NO
1200899,N,U,N,,,,N,,,N,,N,,N,,,N,,,U,,,,N,N,,,UNKNOWN,WATER,BLACK FORK RIVER,BLACK FORK RIVER,,,U,,,HAZMAT AND CONTRACTORS ARE ONSCENE.,STATE TROOPERS,,,PARTLY CLOUDY,34,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1200900,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,LAND,GRAVEL / CONTAINED AREA,,,,Y,,,APPLYING SODA ASH.,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1200901,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,ATMOSPHERE,,,,N,,,"IN THE PROCESS OF GETTING THE CHIP BIN TO RECOLLECT THE MATERIAL, TRYING TO UNFREEZE THE LINE AND SLOW DOWN THE PROCESS.",,,,CLEAR,,2,NW,U,,,,,,,,,,,,,MPH,,,,,,,,,,,,,,,,N,,,,NO
1200902,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,STORM DRAIN; ON THE STREET,STORM DRAIN,UNKNOWN,,Y,,,STOPPED THE LEAKS AND COVERED THE STORM DRAIN.  HAZMAT IS ALSO RESPONDING.,FIRE DEPT; POLICE DEPT,1104,,CLEAR,70,,,U,,,,,,,,,,,,,,,,,,,,,"CALLER STATES THERE WERE TWENTY-EIGHT 55 GALLON DRUMS AND EIGHTEEN 5 GALLON BUCKETS ON THE SITE AND THE MATERIAL WAS DUMPED AND LEAKING FROM SOME OF THEM.  CALLER ALSO STATES THE DRUMS HAVE ""POLYURETHANE"" LABELED ON THEM.  POLICE DEPT REPORT NUMBER: 3250.",,,,,,,,N,,,,NO
1200903,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,NON-RELEASE (N/A),POTENTIAL RELEASE / JOHNSTONE BAY,,,,U,,,"A HELICOPTER FLEW OVER THE SITE FOR VISUAL OBSERVATION, SECTOR ANCHORAGE WAS NOTIFIED AS WELL.",,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,USCG SECTOR ANCHORAGE,,,,,,N,,,,NO
1200904,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,STORM DRAIN,STORM DRAIN,,,Y,,,"SPEEDY DRY IS BEING USED ON THE DRIVEWAY, ROADS ARE BEING POWER WASHED AND CLEANED AT THIS TIME, REPAIRS WILL BE MADE TOMORROW MORNING.",,18-01-01-170019,,,,,,U,,,,,,,,,,,,,,,,,,,,,,NJ DEP,,,,,,,N,,,,NO
1200905,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,OTHER,INTO THE GLYCOL SYSTEM ONLY,,,,Y,,,COMPANY WILL GET A NEW HEAT EXCHANGER.,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1200906,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,NONE,AIR,ATMOSPHERE,,,,Y,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,"RELEASE SECURED AT 0600 THIS MORNING, AMOUNT OF MATERIALS RELEASED CALCULATION WAS COMPLETED AT 0935.",,,,,,,,N,,,,NO
1200907,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,ATMOSPHERE,,,,Y,,,,,WC4922,,,,,,U,,,,,,,,,,,,,,,,,,,,,,"COUNTY EMA, IL EMA",,,,,,,N,,,,NO
1200908,N,U,N,,,,N,,,Y,1,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,RAIL REPORT (N/A),NON-RELEASE,,,,U,,,LOCAL PD AND EMS RESPONDED.,"PD, EMS",,,,,,,U,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,,,N,,,,NO
1200909,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,ATMOSPHERE,,,,N,,,NOTIFIED STATE PD.  SYSTEM IS BEING REPAIRED.,,18-00012,,CLEAR,15,,,U,,,,,,,,,,,,,,,,,,,,,,STATE PD,,,,,,,N,,,,NO
1200910,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,ATMOSPHERE,,,,U,,,MADE NOTIFICATIONS.,,18-00014,,CLEAR,26,,,U,,,,,,,,,,,,,,,,,,,,,,"LA STATE PD, LEPC",,,,,,,N,,,,NO
1200911,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,NON-RELEASE (N/A),CUYAHOGA RIVER,,,,U,,,INVESTIGATION UNDERWAY,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,USCG,,,,,,N,,,,NO
1200912,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,ATMOSPHERE,,,,N,,,INVESTIGATION UNDERWAY,,18-00015,,PARTLY CLOUDY,,,,U,,,,,,,,,,,,,,,,,,,,,,STATE POLICE,,,,,,,N,,,,NO
1200913,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,LAND,DIRT ROADWAY,,,,U,,,NONE,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1200914,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,NONE,WATER,KILL VAN KULL,KILL VAN KULL,UPPER NEW YORK BAY,,Y,,,"BOOMS APPLIED, ABSORBENTS APPLIED, MATERIAL CONTAINED, CLEAN UP UNDERWAY.",LOCAL FD,,,UNKNOWN,,,,U,,,,,,,,,,,,,,,,,,,,,,"NJ DEPT EP, LOCAL FD, STATE POLICE",USCG SECTOR NEW YORK,,,,,,N,,,,NO
1200915,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,ATMOSPHERE,,,,N,,,RESTARTED THE COMPRESSOR. RELEASE IS ONGOING.,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1200916,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,ATMOSPHERE,,,,Y,,,SHUTDOWN SYSTEM,,,,PARTLY CLOUDY,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1200917,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,NONE,AIR,ATMOSPHERE,,,,Y,,,REPAIRS MADE TO BROKEN EQUIPMENT.,,,,UNKNOWN,,,,U,,,,,,,,,,,,,,,,,,,,,,TCEQ,,,,,,,N,,,,NO
1200918,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,NONE,WATER,UNKNOWN TRIBUTARY,UNKNOWN TRIBUTARY,KRUTZ CREEK,,U,,,"EXCAVATED AFFECTED SOIL BY REPUBLIC ,CONTRACTOR HAS BEEN HIRED FOR WATERWAY.",,,,UNKNOWN,,,,U,,,,,,,,,,,,,,,,,,,,,,PA DEP,,,,,,,N,,,,NO
1200919,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,NON-RELEASE (N/A),,,,,U,,,INVESTIGATION UNDERWAY.,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,USCG STA NIAGARA,,,,,,N,,,,NO
1200920,N,U,N,,,,N,,,N,,Y,25000,N,,,N,,,N,,,,N,N,,,UNKNOWN,NON-RELEASE (N/A),,,,,U,,,INVESTIGATION UNDERWAY,,,,PARTLY CLOUDY,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1200921,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,DELAWARE RIVER,DELAWARE RIVER,,,Y,,,CALLER REPORTS THE GASOLINE DISSIPATED NATURALLY AND ABSORBANTS WERE APPLIED.,,,,,,,,U,,RAINBOW,,,,,,,,,,,,,,,,,,,,,,,4,FEET,4,FEET,N,,,,NO
1200922,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,SAN FRAN BAY,SAN FRAN BAY,,,U,,,NONE,,,,PARTLY CLOUDY,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,65,FEET,,,N,,,,NO
1200923,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,LAND,CONCRETE,,,,Y,,,"CALLER REPORTS THE DISCHARGE REMAINED ON CONCRETE, FD AND ON SITE PERSONNEL CONDUCTED THE CLEANUP.",CITY FD,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1200924,N,U,N,,,,N,,,Y,1,N,,N,,,N,,,N,,,,N,Y,1,,UNKNOWN,NON-RELEASE (N/A),,,,,U,,,"CALLER REPORTS THE TRACK IS STILL CLOSED, INVESTIGATION UNDERWAY.",SACRAMENTO PD AND FD,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1200925,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,PACIFIC OCEAN,PACIFIC OCEAN,,,U,,,UNKNOWN.,,,,,,,,U,,BARELY DISCERNIBLE,,,,,,,,,,,,,,,,,,,INITIALLY REPORTED BY FAA FROM PILOTS FLYING ABOVE TO THE COAST GUARD.,,,,,,,,N,,,,NO
1200926,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,NONE,WATER,MARSH,MARSH,INTERCOASTAL WATERWAY,,Y,,,"BOOMS APPLIED, ABSORBENTS APPLIED, SHUTDOWN SYSTEM, SECURED OPERATIONS, CONTRACTOR HAS BEEN HIRED AND ON-SITE.",,18-00021,,,,,,U,,,,,,,,,,,,,,,,,,,,,,LA STATE POLICE,,,,,,,N,,,,NO
1200928,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,LAND, ONTO THE GROUND,,,,Y,,,"EXCAVATED SOIL, CLEAN UP UNDERWAY",,,,PARTLY CLOUDY,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1200929,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,L-31N,L-31N CANAL,MULTIPLE CANALS,,Y,,,"BOOMS DEPLOYED, REMEDIATED OIL IN STATION",,,,CLEAR,60,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1200930,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,OTHER,DRY WASH,,,,Y,,,CALLER STATED CLEANUP COMPLETED WITH 2000 GALLONS OF LESS THAN FOUR PARTS PER MILLION OF BEACH WATER.,,,,SUNNY,70,,,U,,,,,,,,,,,,,,,,,,,,,CALLER STATED ADEQ WILL CONTACTED NEXT.,,,,,,,,N,,,,NO
1200931,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,LAND,CONCRETE,,,,Y,,,WILL CONDUCT A CLEAN UP AND RELOCATE THE DISCHARGE INTO ANOTHER TANK,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1200933,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,CORPUS CHRISTI BAY,CORPUS CHRISTI BAY,,,N,,,,,,,OVERCAST,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1200934,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,STORM DRAIN,STORM DRAIN,UNKNOWN,,Y,,,"CALLER STATED CLEAN UP IS STILL ONGOING, JETTING SOME LINES, VACUUM TRUCKS USED IN THE STORM DRAIN, HARD AND SOFT BOOM DEPLOYED.","STATE WARNING POINT, FD HAZMAT, COUNTY",2017-10604,,,,,,U,,,,,,,,,,,,,,,,,,,,,,"STATE WARNING POINT, FD HAZMAT, COUNTY",,,,,,,N,,,,NO
1200935,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,HUDSON RIVER,HUDSON RIVER,,,N,,,CALLER REPORTS BOOMS WERE PLACED BUT DISCHARGE IS STILL OCCURRING.,,,,,,,,U,,RAINBOW,,,,,,,,,,,,,,,,,,,,,,,100,FEET,30,FEET,N,,,,NO
1200936,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,NONE,WATER,MARINA DEL RAY,MARINA DEL REY,PACIFIC OCEAN,,U,,,"BOOMS APPLIED, ABSORBENTS APPLIED, CLEANUP COMPLETED.",LA COUNTY SHERIFF,,,,,,,U,,,,,,,,,,,,,,,,,,,,,ALREADY DISSIPATED. MARINA PERSONEL CLEANED UP. USCG RESPONSE NOT REQUIRED.,,,,5,YARDS,2,YARDS,N,,,,NO
1200938,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,TO THE GROUND &DISCHARGE SYSTEM OF STATION 7,DISCHARGE SYSTEM OF STATION 7,,,Y,,,"CLEAN UP IS UNDERWAY, CALLER STATED TWO BARRELS OF THE PRODUCED WATER REACHED THE DISCHARGE SYSTEM OF THE STATION.  CALLER STATED THEY RECOVERED ONE HALF BARREL OF THE CRUDE OIL AND TEN BARRELS OF THE PRODUCED WATER.",,,,,,,,U,,,,,,,,,,,,,,,,,,,,,"CALLER STATED ADDITIONAL NOTIFICATIONS TO THE BLM, DEQ AND OIL & GAS  WILL BE MADE.",,,,,,,,N,,,,NO
1200939,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,CREOLE CANAL,CREOLE CANAL,MERMENTAU RIVER,,U,,,CONTRACTOR ENROUTE,,18-00025,,OVERCAST,30,8,NNE,U,,,,,,,,,,,,,MPH,,,,,,,,,"LASP, CAMERON PARISH LEPC",,,,,,,N,,,,NO
