SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
1200946,EGL,000107-21-1,,12.5,GALLON(S),ETHYLENE GLYCOL,NO,,
1200946,OUN,000000-00-0,,12.5,GALLON(S),UNKNOWN OIL,NO,,
1200947,ONG,000000-00-0,,26.6,MIL CBF,NATURAL GAS,NO,,
1200948,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
1200951,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1200951,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,YES,0,UNKNOWN AMOUNT
1200952,STY,000100-42-5,,3,GALLON(S),STYRENE,YES,3,GALLON(S)
1200953,SHP,000000-00-0,,0,UNKNOWN AMOUNT,SODIUM HYPOCHLORITE (15% OR LESS,NO,,
1200955,OMT,000000-00-0,,1.06,TEASPOON(S),"OIL, MISC: MOTOR",YES,1.06,TEASPOON(S)
1200956,HPO,000000-00-0,,30000,GALLON(S),HYDROGEN PEROXIDE (STRONGLY DILUTED),NO,,
1200957,NCC,000000-00-0,,0,UNKNOWN AMOUNT,TDETN4 (UN 3082),NO,,
1200958,NCC,000000-00-0,,1329,GALLON(S),UN3082 CLASS 9 (TRADE NAME T-DET N4) MATERIAL CONTAINS NONYLPHENOL,NO,,
1200959,OHY,000000-00-0,,1,CUP(S),HYDRAULIC OIL,YES,0,UNKNOWN AMOUNT
1200960,ONG,000000-00-0,,714000,CUBIC FEET,NATURAL GAS,NO,,
1200961,BDI,000000-00-0,,0,UNKNOWN AMOUNT,BUTADIENE,NO,,
1200962,OLB,000000-00-0,,120,GALLON(S),"OIL, MISC: LUBRICATING",YES,120,GALLON(S)
1200962,OTH,000000-00-0,,500,BARREL(S),OTHER OIL (PRODUCED WATER),YES,500,BARREL(S)
1200963,NCC,000000-00-0,,0,UNKNOWN AMOUNT,RAW SEWAGE,YES,0,UNKNOWN AMOUNT
1200964,NCC,000000-00-0,,10,GALLON(S),STYRENE MONOMER,YES,10,GALLON(S)
1200965,OTH,000000-00-0,,15,GALLON(S),10 WEIGHT OIL,YES,15,GALLON(S)
1200966,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,NO,,
1200967,ODS,000000-00-0,,45,GALLON(S),OIL: DIESEL,NO,,
1200968,OTH,000000-00-0,,0,UNKNOWN AMOUNT,OILY WATER,YES,0,UNKNOWN AMOUNT
1200969,CMO,000000-00-0,,6113.12,POUND(S),CARBON MONOXIDE,NO,,
1200969,NTO,000000-00-0,,3062.1,POUND(S),NITROUS OXIDE,NO,,
1200970,OMT,000000-00-0,,10,GALLON(S),"OIL, MISC: MOTOR",YES,1,GALLON(S)
1200971,PHN,000108-95-2,,2000,GALLON(S),PHENOL,UNKNOWN,0,UNKNOWN AMOUNT
1200972,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1200973,SHC,007681-52-9,,0,UNKNOWN AMOUNT,BLEACH,NO,,
1200974,OTD,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 2-D",YES,0,UNKNOWN AMOUNT
1200975,NCC,000000-00-0,,0,UNKNOWN AMOUNT,FIRE WATER,YES,0,UNKNOWN AMOUNT
1200976,OTF,000000-00-0,,2,GALLON(S),"OIL, MISC: TRANSFORMER",YES,2,GALLON(S)
1200977,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
1200978,NCC,000000-00-0,,300,GALLON(S),GASOLINE-WATER WASTE MIXTURE,YES,30,GALLON(S)
1200979,BDI,000000-00-0,,0,UNKNOWN AMOUNT,BUTADIENE,NO,,
1200981,OOD,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 1-D",NO,,
1200982,NTO,000000-00-0,,3024.55,POUND(S),NITROUS OXIDE,NO,,
1200983,OIL,000000-00-0,,0.036,GALLON(S),OIL: CRUDE,YES,0.036,GALLON(S)
1200985,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1200986,NCC,000000-00-0,,10,BARREL(S),PRODUCED SALT WATER,NO,,
1200987,OIL,000000-00-0,,1.5,GALLON(S),OIL: CRUDE,NO,,
1200988,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1200989,OHY,000000-00-0,,1.5,LITER(S),HYDRAULIC OIL,YES,1.5,LITER(S)
1200991,NCC,000000-00-0,,60,BARREL(S),DRILLING BRINE,NO,,
1200991,OIL,000000-00-0,,5,BARREL(S),OIL: CRUDE,NO,,
1200992,OHY,000000-00-0,,1.5,LITER(S),HYDRAULIC OIL,YES,1.5,LITER(S)
1200993,NCC,000000-00-0,,1,GALLON(S),ALCOHOLS NOS,NO,,
1200994,PTY,000000-00-0,,0,UNKNOWN AMOUNT,PENTANE,NO,,
1200995,EGL,000107-21-1,,3,GALLON(S),ETHYLENE GLYCOL AND WATER MIXTURE,NO,,
1200996,OIL,000000-00-0,,9,BARREL(S),OIL: CRUDE,YES,9,BARREL(S)
1200997,NCC,000000-00-0,,0,UNKNOWN AMOUNT,WATER WITH FERTILIZER,UNKNOWN,0,UNKNOWN AMOUNT
1200999,OMT,000000-00-0,,5,GALLON(S),"OIL, MISC: MOTOR",NO,,
1201000,OIL,000000-00-0,,6.32,GALLON(S),OIL: CRUDE,YES,6.32,GALLON(S)
1201001,OTH,000000-00-0,,0,UNKNOWN AMOUNT,OTHER OIL (OILY WATER),YES,0,UNKNOWN AMOUNT
1201004,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1201005,OMT,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",NO,,
1201005,OTD,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 2-D",NO,,
1201005,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,NO,,
1201006,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1201007,OTH,000000-00-0,,0,UNKNOWN AMOUNT,OILY WATER,NO,,
1201008,OHY,000000-00-0,,2,QUART(S),HYDRAULIC OIL,YES,1,QUART(S)
1201009,OTD,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 2-D",YES,0,UNKNOWN AMOUNT
1201010,BDI,000000-00-0,,10,POUND(S),BUTADIENE,NO,,
1201010,BNZ,000071-43-2,,10,POUND(S),BENZENE,NO,,
1201011,NCC,000000-00-0,,0.5,TON(S),COAL,NO,,
1201012,OHY,000000-00-0,,50,GALLON(S),HYDRAULIC OIL,NO,,
1201014,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1201015,AMA,007664-41-7,,1700,POUND(S),"AMMONIA, ANHYDROUS",NO,,
1201016,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1201017,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,NO,,
1201018,ONG,000000-00-0,,16280,MIL CBF,NATURAL GAS,NO,,
1201019,NCC,000000-00-0,,8.68,BARREL(S),PRODUCED WATER,YES,5,BARREL(S)
1201019,OIL,000000-00-0,,0.25,BARREL(S),OIL: CRUDE,NO,,
1201020,AMA,007664-41-7,,104,POUND(S),"AMMONIA, ANHYDROUS",NO,,
1201021,JPO,000000-00-0,,300,GALLON(S),JET FUEL: JP-1 (KEROSENE),NO,,
1201023,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
1201025,NCC,000000-00-0,,0,UNKNOWN AMOUNT,NITROGEN DIOXIDE,NO,,
1201026,LTM,000000-00-0,,1,EACH,LITHIUM,NO,,
1201029,BNZ,000071-43-2,,15.34,POUND(S),BENZENE,NO,,
1201030,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1201031,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,UNKNOWN,0,UNKNOWN AMOUNT
1201032,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1201033,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
1201034,NCC,000000-00-0,,0,UNKNOWN AMOUNT,NON CONDENSABLE GASES,NO,,
1201035,NCC,000000-00-0,,2250,GALLON(S),UNTREATED WASTE WATER,YES,2250,GALLON(S)
1201036,PTP,007722-64-7,,0,UNKNOWN AMOUNT,POTASSIUM PERMANGANATE,NO,,
1201037,RFG,000000-00-0,,30,POUND(S),REFRIGERANT GASES,NO,,
1201038,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,YES,0,UNKNOWN AMOUNT
1201039,NCC,000000-00-0,,55,GALLON(S),USED PAINT THINNER,YES,5,GALLON(S)
1201041,OHY,000000-00-0,,0,UNKNOWN AMOUNT,HYDRAULIC OIL,UNKNOWN,0,UNKNOWN AMOUNT
1201044,NCC,000000-00-0,,0,UNKNOWN AMOUNT,VOLATILE ORGANIC COMPOUNDS,NO,,
1201045,NCC,000000-00-0,,5,GALLON(S),NICKEL SULFAMATE,YES,3,LITER(S)
1201048,OTD,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 2-D",NO,,
1201050,OSX,000000-00-0,,30,GALLON(S),"OIL, FUEL: NO. 6",YES,0,UNKNOWN AMOUNT
1201051,OHY,000000-00-0,,0,UNKNOWN AMOUNT,HYDRAULIC OIL,UNKNOWN,0,UNKNOWN AMOUNT
1201051,OMT,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",UNKNOWN,0,UNKNOWN AMOUNT
1201052,ODS,000000-00-0,,20,OUNCE(S),OIL: DIESEL,YES,5,OUNCE(S)
1201053,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1201057,OIL,000000-00-0,,0,UNKNOWN AMOUNT,OIL: CRUDE,YES,0,UNKNOWN AMOUNT
1201058,OHY,000000-00-0,,2,GALLON(S),HYDRAULIC OIL,NO,,
1201059,NCC,000000-00-0,,30,GALLON(S),WASTE WATER,NO,,
1201060,BUT,000000-00-0,,0,UNKNOWN AMOUNT,BUTANE,NO,,
1201063,ONG,000000-00-0,,8000,MIL CBF,NATURAL GAS,NO,,
1201064,ONG,000000-00-0,,8000,OTHER,NATURAL GAS (8000 MCF),NO,,
1201065,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
1201066,NCC,000000-00-0,,0,UNKNOWN AMOUNT,PARAFFIN,NO,,
1201067,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1201069,OHY,000000-00-0,,0,UNKNOWN AMOUNT,HYDRAULIC OIL,NO,,
1201070,BNZ,000071-43-2,,36.87,POUND(S),BENZENE,NO,,
1201071,BNZ,000071-43-2,,10.24,POUND(S),BENZENE,NO,,
1201073,OOD,000000-00-0,,100,GALLON(S),"OIL, FUEL: NO. 1-D",UNKNOWN,0,UNKNOWN AMOUNT
1201074,DZB,000000-00-0,,3,BARREL(S),DRILLING BRINE (WITH ZINC SALTS),NO,,
1201074,OIL,000000-00-0,,1,BARREL(S),OIL: CRUDE,NO,,
1201075,OTD,000000-00-0,,100,GALLON(S),"OIL, FUEL: NO. 2-D",YES,0,UNKNOWN AMOUNT
1201076,OUN,000000-00-0,,6,GALLON(S),UNKNOWN OIL(BELIEVED TO BE AN UNKNOWN FUEL),YES,6,GALLON(S)
1201077,NCC,000000-00-0,,100,POUND(S),SULFUR TRIOXIDE,NO,,
1201078,OHY,000000-00-0,,10,GALLON(S),HYDRAULIC OIL,YES,10,GALLON(S)
1201079,NCC,000000-00-0,,0,UNKNOWN AMOUNT,PRODUCED WATER,YES,0,UNKNOWN AMOUNT
1201079,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1201080,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1201081,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1201083,OIL,000000-00-0,,0.364,GALLON(S),OIL: CRUDE,YES,0.364,GALLON(S)
1201084,NCC,000000-00-0,,30,GALLON(S),"TOXIC LIQUID, ORGANIC, N.O.S. (UN2810)",NO,,
1201085,PPG,000000-00-0,,25,GALLON(S),PROPYLENE GLYCOL,YES,25,GALLON(S)
1201086,NCC,000000-00-0,,50,GALLON(S),SEWAGE,YES,0,UNKNOWN AMOUNT
1201087,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1201090,OHY,000000-00-0,,100,GALLON(S),HYDRAULIC OIL,YES,100,GALLON(S)
1201091,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,UNKNOWN,0,UNKNOWN AMOUNT
1201092,OUN,000000-00-0,,0,UNKNOWN AMOUNT,"POSSIBLY OIL FROM GEAR BOX, POSSIBLY ORGANIC MATERIAL",YES,0,UNKNOWN AMOUNT
1201094,NCC,000000-00-0,,0,UNKNOWN AMOUNT,MONOCHLORIDE MONOMER,NO,,
1201095,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1201096,ODS,000000-00-0,,130,GALLON(S),OIL: DIESEL,YES,0,UNKNOWN AMOUNT
1201096,OMT,000000-00-0,,11,GALLON(S),"OIL, MISC: MOTOR",YES,0,UNKNOWN AMOUNT
1201097,ODS,000000-00-0,,1,QUART(S),OIL: DIESEL,YES,1,QUART(S)
1201098,OHY,000000-00-0,,1,GALLON(S),HYDRAULIC OIL,YES,1,GALLON(S)
1201100,ODS,000000-00-0,,5,GALLON(S),OIL: DIESEL,NO,,
1201101,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
1201102,NCC,000000-00-0,,0,UNKNOWN AMOUNT,SEWAGE,YES,0,UNKNOWN AMOUNT
1201103,HDS,007783-06-4,,119,POUND(S),HYDROGEN SULFIDE,NO,,
1201105,SFA,007664-93-9,,13000,GALLON(S),SULFURIC ACID,NO,,
1201106,SFD,000000-00-0,,520,POUND(S),SULFUR DIOXIDE,NO,,
1201107,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1201108,NCC,000000-00-0,,0,UNKNOWN AMOUNT,NON-CONDENSABLE GASES,NO,,
1201109,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
1201110,OIL,000000-00-0,,2,BARREL(S),OIL: CRUDE,YES,1,QUART(S)
1201111,SFD,000000-00-0,,600,POUND(S),SULFUR DIOXIDE,NO,,
1201112,OIL,000000-00-0,,2,BARREL(S),OIL: CRUDE,YES,2,BARREL(S)
1201115,NCC,000000-00-0,,100,TON(S),ASPHALT SHINGES WITH POSSIBLE ABESTOS,NO,,
1201117,NCC,000000-00-0,,1000,GALLON(S),UNTREATED WASTE WATER,NO,,
1201118,OOD,000000-00-0,,1,GALLON(S),"OIL, FUEL: NO. 1-D",YES,1,GALLON(S)
1201119,PCB,000000-00-0,,0,UNKNOWN AMOUNT,POLYCHLORINATED BIPHENYLS,YES,0,UNKNOWN AMOUNT
1201120,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1201121,SFD,000000-00-0,,1175,POUND(S),SULFUR DIOXIDE,NO,,
1201122,OHY,000000-00-0,,0.5,PINT(S),HYDRAULIC OIL,YES,0.5,PINT(S)
1201123,NCC,000000-00-0,,80,GALLON(S),BLEACH,NO,,
1201124,OMN,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MINERAL",YES,5,GALLON(S)
1201125,OOD,000000-00-0,,50,GALLON(S),"OIL, FUEL: NO. 1-D",NO,,
1201126,OOD,000000-00-0,,600,GALLON(S),"OIL, FUEL: NO. 1-D",NO,,
1201127,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1201128,OTW,000000-00-0,,5,GALLON(S),"OIL, FUEL: NO. 2",YES,5,GALLON(S)
1201129,OTH,000000-00-0,,400,GALLON(S),JET-A,NO,,
1201130,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),UNKNOWN,0,UNKNOWN AMOUNT
1201130,OMT,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",UNKNOWN,0,UNKNOWN AMOUNT
1201131,VCM,000075-01-4,,8,POUND(S),VINYL CHLORIDE,NO,,
1201133,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1201136,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1201137,OIL,000000-00-0,,34.32,GALLON(S),OIL: CRUDE,YES,34.32,GALLON(S)
1201138,OTD,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 2-D",YES,0,UNKNOWN AMOUNT
1201141,OIL,000000-00-0,,2,BARREL(S),OIL: CRUDE,YES,2,BARREL(S)
1201143,ODS,000000-00-0,,50,GALLON(S),OIL: DIESEL,UNKNOWN,0,UNKNOWN AMOUNT
1201144,OHY,000000-00-0,,0,UNKNOWN AMOUNT,HYDRAULIC OIL,NO,,
1201146,OIL,000000-00-0,,5,GALLON(S),OIL: CRUDE,YES,5,GALLON(S)
1201147,ODS,000000-00-0,,20,GALLON(S),OIL: DIESEL,YES,5,GALLON(S)
1201148,NCC,000000-00-0,,45,BARREL(S),JET FUEL,NO,,
1201149,SHC,007681-52-9,,1487,POUND(S),SODIUM HYPOCHLORITE,NO,,
1201152,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,UNKNOWN,0,UNKNOWN AMOUNT
1201153,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,NO,,
1201155,SFA,007664-93-9,,3200,POUND(S),SULFURIC ACID,NO,,
1201156,ODS,000000-00-0,,100,GALLON(S),OIL: DIESEL,YES,0,UNKNOWN AMOUNT
1201157,OHY,000000-00-0,,3,GALLON(S),HYDRAULIC OIL,YES,3,GALLON(S)
1201158,AMA,007664-41-7,,129.25,POUND(S),"AMMONIA, ANHYDROUS",NO,,
1201159,BDI,000000-00-0,,0,UNKNOWN AMOUNT,BUTADIENE,NO,,
1201159,BNZ,000071-43-2,,0,UNKNOWN AMOUNT,BENZENE,NO,,
1201160,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN WHITE MATERIAL,YES,0,UNKNOWN AMOUNT
1201161,NCC,000000-00-0,,8500,POUND(S),METHYLENE CHLORIDE,NO,,
1201163,OLB,000000-00-0,,20,GALLON(S),"OIL, MISC: LUBRICATING",NO,,
1201164,NCC,000000-00-0,,4000,POUND(S),WHEAT,NO,,
1201167,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
1201168,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN CORROSIVES,NO,,
1201170,BDI,000000-00-0,,81.55,POUND(S),"1,3 BUTADIENE",NO,,
1201171,OTH,000000-00-0,,20,GALLON(S),JET-A FUEL,NO,,
1201172,ODS,000000-00-0,,2000,GALLON(S),OIL: DIESEL,NO,,
1201174,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL (WATER MIXED FROM SUMP TANK),YES,0,UNKNOWN AMOUNT
1201175,ODS,000000-00-0,,30,GALLON(S),OIL: DIESEL,YES,0,UNKNOWN AMOUNT
1201175,OMT,000000-00-0,,16,GALLON(S),"OIL, MISC: MOTOR",YES,0,UNKNOWN AMOUNT
1201176,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
