SEQNOS,DESCRIPTION_OF_INCIDENT,TYPE_OF_INCIDENT,INCIDENT_CAUSE,INCIDENT_DATE_TIME,INCIDENT_DTG,INCIDENT_LOCATION,LOCATION_ADDRESS,LOCATION_STREET1,LOCATION_STREET2,LOCATION_NEAREST_CITY,LOCATION_STATE,LOCATION_COUNTY,LOCATION_ZIP,DISTANCE_FROM_CITY,DISTANCE_UNITS,DIRECTION_FROM_CITY,LAT_DEG,LAT_MIN,LAT_SEC,LAT_QUAD,LONG_DEG,LONG_MIN,LONG_SEC,LONG_QUAD,LOCATION_SECTION,LOCATION_TOWNSHIP,LOCATION_RANGE,POTENTIAL_FLAG
1200884,"A ""LARGE AMOUNT"" OF LOW PH WATER RELEASED FROM A BROKEN PROCESS PIPE AND ONTO THE ASPHALT AND SOIL.",PIPELINE,EQUIPMENT FAILURE,1/1/18 3:45,OCCURRED,,1150 WEST HIGHWAY 30,,,POCATELLO,ID,POWER,83204,,,,,,,,,,,,,,,N
1200885,"CALLER REPORTS A RELEASE OF AN UNKNOWN AMOUNT OF 1, 3 BUTADIENE INTO THE AIR CAUSED BY A FLARE EVENT AS A RESULT OF WEATHER RELATED ISSUES AND INSTRUMENTATION FREEZING.",FIXED,NATURAL PHENOMENON,1/1/18 6:10,DISCOVERED,,15536 RIVER ROAD,,,NORCO,LA,ST. CHARLES,70079,,,,,,,,,,,,,,,N
1200886,"AN UNKNOWN AMOUNT OF NATURAL GAS RELEASED FROM A DISTRIBUTION PIPELINE (AT A PRIVATE RESIDENCE), WHICH RESULTED IN A FIRE AND EXPLOSION. INITIAL CAUSE OF INCIDENT IS UNKNOWN. FOUR OCCUPANTS OF THE HOME WERE EVACUATED; WITHOUT INJURY.",PIPELINE,UNKNOWN,1/1/18 5:45,OCCURRED,,3567 COLGATE LN,,,IRVING,TX,DALLAS,,,,,,,,,,,,,,,,N
1200887,CALLER REPORTS A DISCHARGE OF 2 TO 3 BARRELS OF CRUDE OIL INTO THE WATER CAUSED BY A HOLE IN A SPLIT DUMP VALVE ON A FACILITY. WIND CARRIED THE DISCHARGE OVERBOARD.,PLATFORM,EQUIPMENT FAILURE,1/1/18 8:00,OCCURRED,PLATFORM INCIDENT,SEE LAT/LONG,,,PORT SULPHUR,LA,PLAQUEMINES,,,,,29,17,34,N,89,31,40,W,,,,N
1200888,"NOX IS RELEASING TO THE FLARE, DUE TO A PROCESS UPSET.",FIXED,OTHER,1/1/18 5:45,OCCURRED,,2001 S. GULFWAY DRIVE,,,PORT ARTHUR,TX,JEFFERSON,77640,,,,,,,,,,,,,,,N
1200889,CALLER REPORTS A BODY WAS DISCOVERED ON SUBWAY TRACKS AT A STATION AND IT IS SUSPECTED TO HAVE BEEN A TRESPASSER STRUCK BY A TRAIN.,RAILROAD NON-RELEASE,TRESPASSER,1/1/18 8:32,DISCOVERED,,LIBERTY AVE STATION,,,NEW YORK,NY,KINGS(BROOKLYN),,,,,,,,,,,,,,,,N
1200890,"ANHYDROUS AMMONIA IS RELEASING FROM A COMPRESSOR SEAL, DUE TO POWER LOSS IN THE ENGINE ROOM (AS A RESULT OF COLD TEMPERATURES).",FIXED,EQUIPMENT FAILURE,1/1/18 9:58,DISCOVERED,* ENGINE ROOM 2,410 KIRK ROAD,,,SAINT CHARLES,IL,KANE,60174,,,,,,,,,,,,,,,N
1200891,"DUE TO A POWER FAILURE ON THE PLATFORM, THE POWER PUMP KICKED-ON AND STARTED DILUTING. THIS CAUSED WATER ACCUMULATION ON DECK, WHICH PICKED-UP RESIDUAL OIL/GREASE (.0000058 BBL) AND HIGH WINDS BLEW THE MIXTURE OVERBOARD.",PLATFORM,OTHER,1/1/18 8:15,DISCOVERED,"MISSISSIPPI CANYON, BLOCK 280",,,,,LA,MISSISSIPPI CANYON,,,,,28,39,45,N,89,9,27,W,,,,N
1200892,"A FREIGHT TRAIN OPERATING OFF THE MAINLINE TRACK (SHUFFLING CARS), STRUCK A TRESPASSER THAT WAS WALKING IN THE SEGREGATED YARD. THE SUBJECT WAS DISMEMBERED AND TRANSPORTED TO LOCAL HOSPITAL.",RAILROAD NON-RELEASE,TRESPASSER,1/1/18 12:40,OCCURRED,HIALEAH RAILYARD,9400 NW 37 AVE.,,,HIALEAH,FL,DADE,,,,,,,,,,,,,,,,N
1200893,CALLER IS REPORTING A DECEASED BODY THAT WAS FOUND ON THE TRACKS. CALLER STATED IT IS UNKNOWN AT THIS TIME IF A TRAIN WAS INVOLVED. THE INCIDENT IS CURRENTLY UNDER INVESTIGATION.,RAILROAD NON-RELEASE,TRESPASSER,1/1/18 11:15,DISCOVERED,MAIN LINE,MP: 1024.4,SUB: LORDSBURG,,BENSON,AZ,COCHISE,,,,,,,,,,,,,,,,N
1200894,CALLER REPORTS AN UNKNOWN SHEEN FROM AN UNKNOWN SOURCE.,UNKNOWN SHEEN,UNKNOWN,1/1/18 12:00,DISCOVERED,UNKNOWN SHEEN INCIDENT,GULF SULPHUR SERVICES GALVESTON,4500 HARBORSIDE DRIVE,,GALVESTON,TX,GALVESTON,,,,,,,,,,,,,,,,N
1200895,CALLER STATED AN AMTRAK TRAIN STRUCK A TRESPASSER WHICH RESULTED IN FATAL INJURIES.,RAILROAD NON-RELEASE,TRESPASSER,1/1/18 10:30,OCCURRED,,MP: 22.75,SUB: NILES,,HAYWOOD,CA,ALAMEDA,,,,,,,,,,,,,,,,N
1200896,CALLER STATED A STORAGE TANK ON TOP OF THE BUILDING FROZE CAUSING A LINE TO BREAK AND RELEASE SODIUM HYDROXIDE ONTO THE SIDE OF THE BUILDING AND INTO WHITE ROCKS ON THE GROUND.,STORAGE TANK,NATURAL PHENOMENON,1/1/18 13:45,DISCOVERED,BUILDING 1175,11 WEST LITESSE DR.,,,TERRE HAUTE,IN,VIGO,47802,,,,,,,,,,,,,,,N
1200897,PEDESTRIAN FATALITY INVOLVED WITH A FREIGHT TRAIN AT A GRADE CROSSING.,RAILROAD NON-RELEASE,TRESPASSER,1/1/18 14:27,OCCURRED,,MCCAMLY ST.,,,BATTLE CREEK,MI,CALHOUN,,,,,,,,,,,,,,,,N
1200898,CALLER STATED THAT A RAIL CAR (PART OF A TRAIN) BROKE IN HALF AND IS CAUSING A TRAIN DELAY ON A PASSENGER TRAIN ROUTE. NO INJURIES OR RELEASE OF MATERIAL REPORTED.,RAILROAD NON-RELEASE,EQUIPMENT FAILURE,1/1/18 15:34,OCCURRED,MAIN LINE,MP: QC244.0,SUB: MOHAWK,,ORISKANY,NY,ONEIDA,,,,,,,,,,,,,,,,N
1200899,MOTOR OIL AND DIESEL FUEL DISCHARGED FROM A TRACTOR TRAILER TRUCK THAT WENT INTO A WATERWAY DUE TO A SINGLE VEHICLE ACCIDENT.,MOBILE,OTHER,1/1/18 9:37,OCCURRED,EASTBOUND; I-80; MILE MARKER 47; BLACK FORK RIVER,,,,LYMAN,WY,UINTA,,,,,,,,,,,,,,,,N
1200900,"OVER 1,786 POUNDS OF NITRIC ACID RELEASED FROM A RAIL CAR DUE TO AN UNKNOWN CAUSE AT THIS TIME.",RAILROAD,UNKNOWN,1/1/18 16:10,OCCURRED,FERTILIZER PLANT,6606 EAST 540 RD,,,CLAREMORE,OK,ROGERS,74019,,,,,,,,,,,,,,,N
1200901,"CALLER STATED DUE TO A FROZEN LINE ON A CHIP BIN, UNBURNED CHIP BIN GASES RELEASED TO THE AIR.",FIXED,NATURAL PHENOMENON,1/1/18 16:37,OCCURRED,,4335 CARSON ROAD,,,COLUMBUS,MS,LOWNDES,39702,,,,,,,,,,,,,,,N
1200902,POLYURETHANE MATERIAL WAS DUMPED OUT OF MULTIPLE 55 GALLON DRUMS.,STORAGE TANK,DUMPING,1/1/18 14:36,OCCURRED,INTERSECTION OF 18TH ST AND TOBERMAN ST.,,,,LOS ANGELES,CA,LOS ANGELES,,,,,,,,,,,,,,,,N
1200903,"///POTENTIAL RELEASE///

CALLER IS REPORTING THAT A SINGLE ENGINE FLOAT PLANE CRASHED INTO JOHNSTONE BAY DUE TO UNKNOWN CAUSES. CALLER STATED THE PILOT WAS THE ONLY PERSON ONBOARD AND WAS RESCUED.",AIRCRAFT,UNKNOWN,1/1/18 11:54,OCCURRED,JOHNSTONE BAY,,,,SEWARD,AK,KENAI PENINSULA,,,,,59,56,30,N,148,42,12,W,,,,Y
1200904,CALLER STATED PIPELINE GAS LIQUIDS RELEASED FROM A PIECE OF PIPE IN A MANWAY COVER ONTO THE GROUND AND INTO A STORM DRAIN.,FIXED,EQUIPMENT FAILURE,1/1/18 13:30,OCCURRED,,17 DEVOE ST.,,,SOUTH RIVER,NJ,MIDDLESEX,,,,,,,,,,,,,,,,N
1200905,CALLER STATED A HEAT EXCHANGER RUPTURED AND RELEASED ANHYDROUS AMMONIA INTO THE UNDERGROUND GLYCOL SYSTEM FLOOR HEAT.,FIXED,EQUIPMENT FAILURE,1/1/18 19:15,OCCURRED,,5000 KANSAS AVE,,,KANSAS CITY,KS,WYANDOTTE,66106,,,,,,,,,,,,,,,N
1200906,CALLER STATED A STRIPPING TOWER OVERPRESSURED CAUSING HYDROGEN SULFIDE TO BE RELEASED TO THE FLARE.,FIXED,EQUIPMENT FAILURE,1/1/18 4:55,OCCURRED,,2555 SAVANNAH AVE.,,,PORT ARTHUR,TX,JEFFERSON,77640,,,,,,,,,,,,,,,N
1200907,CALLER STATED THAT A PUMP FAILURE ON AN OPERATING UNIT CAUSED THE RELEASE OF SULFUR DIOXIDE TO THE FLARE.  AMOUNT RELEASED IS UNKNOWN .,FIXED,EQUIPMENT FAILURE,1/1/18 21:04,OCCURRED,,135TH AND NEW AVE.,,,LEMONT,IL,WILL,60439,,,,,,,,,,,,,,,N
1200908,CALLER STATED THAT A TRESPASSER WAS FATALLY STRUCK BY A PASSENGER TRAIN.,RAILROAD NON-RELEASE,TRESPASSER,1/1/18 19:52,OCCURRED,"MP: 18.10, SUBDIVISION: NILES",,,,SAN LORENZO,CA,ALAMEDA,,,,,,,,,,,,,,,,N
1200909,CALLER REPORTED THAT AN UNKNOWN AMOUNT OF NATURAL GAS WAS RELEASED TO THE ATMOSPHERE FROM A COMPRESSOR AT A PUMP STATION DUE TO EQUIPMENT FAILURE.,FIXED,EQUIPMENT FAILURE,1/2/18 0:07,OCCURRED,STATE HWY 552 AND STATE HWY 873/,,,,EXTENSION,LA,FRANKLIN,71243,,,,31,57,35,N,91,49,23,W,,,,N
1200910,"CALLER REPORTED AN UNKOWN AMOUNT OF VINYL CHLORIDE, ETHYL CHLORIDE, DICHLOROETHANE, RELEASED TO THE ATMOSPHERE FROM AN INCINERATOR AT A REFINERY, DUE TO EQUIPMENT FAILURE.",FIXED,EQUIPMENT FAILURE,1/2/18 1:24,OCCURRED,,1600 VCM PLANT ROAD,,,WEST LAKE,LA,CALCASIEU,70669,,,,,,,,,,,,,,,N
1200911,CALLER REPORTS A PARTIALLY SUBMERGED CHARTER VESSEL WITH NO SIGNS OF POLLUTION.,VESSEL,VESSEL SINKING,1/2/18 5:00,DISCOVERED,,1800 STANTON ROAD,,,CLEVELAND,OH,CUYAHOGA,,,,,,,,,,,,,,,,Y
1200912,CALLER REPORTED DURING A LOCKOUT TAG OUT THERE WAS A LOSS OF MATERIALS TO THE ATMOSPHERE,FIXED,OTHER,1/2/18 5:15,OCCURRED,,201 RED RIVER MINE RD.,,,COUSHATTA,LA,RED RIVER,71019,,,,,,,,,,,,,,,N
1200913,CALLER REPORTS AN UNKNOWN CHEMICAL OR OIL HAS BEEN SPILLED ONTO THE ROADWAY FROM AN UNKNOWN SOURCE.,FIXED,UNKNOWN,1/1/18 6:00,DISCOVERED,NEAR INTERSTATE 20,COUNTY ROAD 2831,,,STANTON,TX,MARTIN,,,,,,,,,,,,,,,,N
1200914,CALLER IS REPORTING THE DISCHARGE OF UNKNOWN AMOUNT OF NO2 HATING OIL WITH 5 GALLONS DISCHARGED  INTO THE KILL VAN KULL DUE TO OIL THAT WAS LEFT IN THE HOSE.,FIXED,OPERATOR ERROR,1/2/18 8:30,OCCURRED,,250 EAST 22ND ST,,,BAYONNE,NJ,HUDSON,,,,,,,,,,,,,,,,N
1200915,"CALLER REPORTS A RELEASE OF OF AN UNKNOWN AMOUNT (GREATER THAT 10 POUNDS OVER THE PERMITTED LIMIT) OF 1,3 BUTADIENE INTO A FLARE CAUSED BY A COMPRESSOR TRIP AT A FACILITY.",FIXED,EQUIPMENT FAILURE,1/2/18 3:00,OCCURRED,,PO BOX 1488,2 MILES S OF FM 2917 ON FM 2004,,ALVIN,TX,BRAZORIA,77512,,,,,,,,,,,,,,,N
1200916,CALLER REPORTED DUE TO THE VERY COLD WEATHER A FACILITY HAD TO BE SHUT IN WHICH RESULTED IN A FLARING EVENT.,FIXED,NATURAL PHENOMENON,1/1/18 8:39,OCCURRED,,17400 EAST FM 2401,,,MIDKIFF,TX,REAGAN,79755,,,,,,,,,,,,,,,N
1200917,"CALLER IS REPORTING THE RELEASE OF BENZENE, PROPANE, & BUTANE TO THE ATMOSPHERE DUE TO EQUIPMENT FAILURE OF AN UNKNOWN PIECE OF EQUIPMENT.",FIXED,EQUIPMENT FAILURE,1/1/18 9:21,OCCURRED,,2604 COUNTY RD 150,,,GARDEN CITY,TX,GLASSCOCK,79739,,,,,,,,,,,,,,,N
1200918,CALLER IS REPORTING THE RELEASE OF 2000 GALLONS OF LEACHATE FROM AN ABOVE GROUND STORAGE TANK DUE TO EQUIPMENT FAILURE OF THE STORAGE TANK. THE LEACHATE WENT INTO AN UNKNOWN TRIBUTARY OF KRUTZ CREEK.,STORAGE TANK,EQUIPMENT FAILURE,1/2/18 8:00,DISCOVERED,,4400 MOUNT PISGAH RD,,,YORK,PA,YORK,,,,,,,,,,,,,,,,N
1200919,CALLER REPORTS AN UNKNOWN YELLOW OVAL SHAPED STORAGE TANK DRIFTED BY IN THE NIAGARA RIVER.,STORAGE TANK,OTHER,1/2/18 10:10,OCCURRED,,1 SCOTT AVE,,,YOUNGSTOWN,NY,NIAGARA,14174,,,,,,,,,,,,,,,Y
1200920,CALLER REPORTED A RAIL CAR DERAILMENT IN A YARD CAUSING A SIGNIFICANT AMOUNT OF DAMAGE.,RAILROAD NON-RELEASE,DERAILMENT,1/2/18 6:33,OCCURRED,,SHADY GROVE YARD,,,WASHINGTON,DC,WASHINGTON D.C.,,,,,,,,,,,,,,,,N
1200921,CALLER REPORTS A DISCHARGE OF APPROXIMATELY .25 GALLONS OF GASOLINE INTO THE WATER CAUSED BY A BURP IN THE TANK WHILE FUELING A VESSEL AT A DOCK.,VESSEL,EQUIPMENT FAILURE,1/2/18 10:00,OCCURRED,,1 WASHINGTON AVE,,,PHILADELPHIA,PA,PHILADELPHIA,19147,,,,,,,,,,,,,,,N
1200922,CALLER REPORTED A SUNKEN SAILBOAT AT THEIR SLIP IS CAUSING A DISCHARGE OF MATERIALS.,VESSEL,VESSEL SINKING,1/2/18 7:30,DISCOVERED,BERKLEY HARBOR MARINA,,,,,CA,SAN FRANCISCO,,,,,37,51,29,N,122,18,48,W,,,,N
1200923,CALLER REPORTS A DISCHARGE OF 28 GALLONS OF DIESEL ONTO THE GROUND CAUSED BY A HOLE IN A CUSTOMERS FUEL TANK.,MOBILE,EQUIPMENT FAILURE,12/31/17 15:00,OCCURRED,CIRCLE K GAS STATION #3490,3033 SOUTH MCQUEEN RD,,,CHANDLER,AZ,MARICOPA,,,,,,,,,,,,,,,,N
1200924,CALLER REPORTS  POLICE DEPARTMENT PERSONNEL LOCATED A DECEASED MALE ON A RIGHT OF WAY. CALLER REPORTS A SUSPECTED TRAIN INVOLVEMENT.,FIXED,TRESPASSER,1/2/18 7:35,DISCOVERED,SACRAMENTO DEPOT,I STREET AND 2ND STREET,,,SACRAMENTO,CA,SACRAMENTO,,,,,,,,,,,,,,,,N
1200925,CALLER RECEIVED A REPORT OF AN UNKNOWN SHEEN FROM AN UNKNOWN SOURCE. ORIGINAL REPORTING PARTY DESCRIBED IT AS LARGE.,UNKNOWN SHEEN,UNKNOWN,1/2/18 8:36,DISCOVERED,UNKNOWN SHEEN INCIDENT,SEE LAT/LONG,,,SANTA BARBARA,CA,SANTA BARBARA,,,,,34,21,28,N,119,56,14,W,,,,N
1200926,CALLER IS REPORTING A DISCHARGE OF CRUDE OIL ONTO LAND AND MARSH DUE TO EQUIPMENT FAILURE IN A FLOW LINE THAT DEVELOPED A PIN-HOLE LEAK.,PIPELINE,EQUIPMENT FAILURE,1/2/18 10:05,DISCOVERED,SEE LAT/LONG,,,,KAPLIN,LA,VERMILION,,,,,29,53,39,N,92,26,5,W,,,,N
1200928,CALLER REPORTED A UNION CRACKED AND LEAKED SODIUM HYDROXIDE ONTO THE GROUND.,FIXED,EQUIPMENT FAILURE,1/2/18 5:30,OCCURRED,,2561 COUNTY RD 4540,,,MT PLEASEANT,TX,TITUS,,,,,,,,,,,,,,,,N
1200929,CALLER IS REPORTING THAT THERE HAS BEEN A DISCHARGE OF DIESEL FROM A FUEL LINE WHEN FUELING AN ENGINE AT PUMP STATION S-332C (FLOOD CONTROL STRUCTURE). THIS WAS DUE TO A CRACK IN THE FLEX-LINE.,FIXED,EQUIPMENT FAILURE,12/29/17 21:00,OCCURRED,,SW 228TH AVE / SW 270TH ST,SEE LAT/LONG,,MIAMI,FL,DADE,,,,,25,30,54,N,80,33,36,W,,,,N
1200930,CALLER STATED DUE TO AN EQUIPMENT FAILURE THERE WAS A SPILL OF RAW SEWAGE INTO A DRY WASH (CLASSIFIED AS WATERS OF THE UNITED STATES).,FIXED,EQUIPMENT FAILURE,1/1/18 12:00,OCCURRED,WASTE WATER TREATMENT FACILITY,1195 LAKE HAVASU AVE,,,HAVASU CITY,AZ,MOHAVE,86403,,,,,,,,,,,,,,,N
1200931,CALLER REPORTS A DISCHARGE OF 5 BARRELS OF CRUDE OIL WITHIN CONTAINMENT ON AN ONSHORE PRODUCTION FACILITY CAUSED BY A WORN OUT PUMP SEAL.,FIXED,EQUIPMENT FAILURE,1/2/18 8:30,OCCURRED,,5777 WEST PACIFIC COAST HIGHWAY,,,VENTURA,CA,VENTURA,93001,,,,,,,,,,,,,,,N
1200933,CALLER STATED THERE ARE BUSINESSES THAT ARE DUMPING GREASE AND COOKING OIL INTO THE WATER. CALLER STATED RESTAURANTS ARE WASHING THEIR GREASE TRAPS IN THE WATERWAY.,FIXED,DUMPING,1/2/18 11:15,DISCOVERED,SHORELINE AND PEOPLES STREET,,CORPUS CHRISTI BAY,,CORPUS CHRISTI,TX,NUECES,,,,,,,,,,,,,,,,N
1200934,CALLER STATED THERE WAS A SPILL OF JET A FUEL FROM A TANKER TRUCK THAT OVERTURNED DUE TO A SINGLE VEHICLE ACCIDENT.  CALLER STATED AN UNKNOWN AMOUNT OF THE MATERIALS REACHED A STORM DRAIN.  CALLER STATED IT IS UNKNOWN IF THE SPILL REACHED A WATERWAY.  CLEAN UP IS CURRENTLY UNDERWAY.,MOBILE,OTHER,12/27/17 11:40,OCCURRED,INTERSECTION OF BELLVEDERE AND FLORIDA MANGO,,,,WEST PALM BEACH,FL,PALM BEACH,,,,,,,,,,,,,,,,N
1200935,CALLER REPORTS 2 VESSEL SUNK AT A MARINA AS A RESULT OF A FIRE AND ARE DISCHARGING OIL INTO THE WATER.,VESSEL,VESSEL SINKING,12/26/17 21:00,OCCURRED,HUDSON POINT MARINA,,,,JERSEY CITY,NJ,HUDSON,,,,,,,,,,,,,,,,N
1200936,CALLER IS REPORTING AN UNKNOWN SHEEN FROM AN UNKNOWN SOURCE.,UNKNOWN SHEEN,UNKNOWN,1/2/18 10:00,DISCOVERED,UNKNOWN SHEEN INCIDENT,MARINA DEL RAY A BASIN,,,MARINA DEL RAY,CA,LOS ANGELES,,,,,,,,,,,,,,,,N
1200938,CALLER STATED DUE TO EXTERNAL CORROSION ON A WELL BATTERY PRODUCTION FLOWLINE THERE WAS A SPILL OF CRUDE AND PRODUCED WATER TO THE GROUND.  CALLER STATED ONE  BARREL OF THE CRUDE OIL AND TWO BARRELS OF PRODUCED WATER REACHED THE DISCHARGE SYSTEM OF THE STATION (DISCHARGE PERMIT NUMBER WY0022829).,PIPELINE,EQUIPMENT FAILURE,1/2/18 9:30,OCCURRED,NWNW,STATION 7 DISCHARGE PIT,,,POWELL,WY,PARK,,,,,44,59,51,N,108,52,49,W,24,58 NORTH,100 WEST,N
1200939,CALLER IS REPORTING THAT A SIGHT GLASS BROKE AND DISCHARGED A MIXTURE OF CRUDE OIL AND SALT WATER ONTO A MARSH ADJACENT TO THE FACILITY. CALLER STATES THAT THE DISCHARGE WAS LESS THAN 1 BARREL OF CRUDE OIL AND SALT WATER COMBINED.,FIXED,EQUIPMENT FAILURE,1/2/18 13:15,OCCURRED,,SEE LAT/LONG,,,,LA,CAMERON,,,,,29,45,35,N,93,5,50,W,,,,N
1200940,CALLER IS REPORTING A 10 GALLON DISCHARGE OF LUBE OIL TO BALLAST DUE TO EQUIPMENT FAILURE FROM A LOCOMOTIVE.,RAILROAD,EQUIPMENT FAILURE,1/2/18 12:30,OCCURRED,MILEPOST S13.6 SUBDIVION LAKE DIVISION,,,,DELWARE,OH,DELAWARE,,,,,,,,,,,,,,,,N
1200941,"////THIS IS UPDATE TO INCIDENT REPORT NUMBER 1200042////

REPORTING PARTY IS UPDATING THE RELEASE AMOUNT FROM AN  UNKNOWN AMOUNT TO 1089 POUNDS.

PREVIOUS INCIDENT DESCRIPTION.

THE CALLER IS REPORTING THAT AN AMMONIA COOLING TOWER DEVELOPED A HOLE IN THE COILS CAUSING THE RELEASE OF ANHYDROUS AMMONIA INTO THE ATMOSPHERE.


///UPDATED INCIDENT REPORT NUMBER 1200941///
",FIXED,EQUIPMENT FAILURE,12/19/17 9:38,OCCURRED,,2035 E BENNET ST,,,SPRINGFIELD,MO,GREENE,65804,,,,,,,,,,,,,,,N
