NAME_OF_MATERIAL,Spill_Count_by_material,Quantity
 LIGHT NON-AQUEOUS PHASE LIQUID,1,0
"2,4-DINITROPHENOL",1,0
ACID OIL (PH 5),1,0
AHYDROUS CHEMICAL AND ALCOHOLS,1,0
ALGERIAN STRAIGHT RUN FUEL OIL,1,0
BILGE WASH,1,0
BLACK OIL,1,0
BUNKER OIL,1,0
CAT SLURRY OIL,1,0
CAUSTIC SODA SOLUTION,1,0
CLARITY OIL,1,0
COAL DUST/PET COKE,1,0
COAL/PETROLEUM COKE,1,0
COKE,1,0
COKER GAS OIL,1,0
CONDENSATE,1,0
COOKING OIL,1,0
DEGREASER,1,0
DENATURED ALCOHOL,1,0
ETHYL ALCOHOL (DENATURED ETHANOL),1,0
ETHYLENE OXIDE,1,0
HEAVY BLACK FUEL OIL,1,0
HYDROCARBONS MIXED WITH RAINWATER,1,0
HYDROCHLORIC ACID,1,0
HYDROGEN,1,0
HYDROGEN FLOURIDE,1,0
HYDROGEN SULFIDE,1,0
LUBE OIL OR GAS OIL,1,0
MOLASSES AND WATER,1,0
NAPHTHA,1,0
NEODOL 45-7,1,0
OIL RESIDUE,1,0
"OIL, EDIBLE: CORN",1,0
"OIL, EDIBLE: PALM (STEARIN OIL)",1,0
"OIL, MISC: COAL TAR",1,0
"OIL, MISC: COAL TAR (PETROLEUM COKE AND COAL)",1,0
OIL: CRUDE MIXED WITH WATER,1,0
OILY WATER CRUDE OIL MIXTURE,1,0
"OTHER OIL, HEAVY FUEL OIL",1,0
PAINT,1,0
PETROLEUM COKE AND COAL,1,0
PETROLEUM COKE DUST,1,0
PETROLEUM COKE(PETCOKE),1,0
PETROLEUM NAPHTHA,1,0
POLYVINYL CHLORIDE,1,0
PRODUCED WATER,1,0
RAIN/STORM WATER,1,0
RIVER WATER,1,0
RUST,1,0
SODIUM HYPOCHLORITE,1,0
TRASH,1,0
TROPICAL OIL,1,0
UNKNOWN BLACK MATERIAL,1,0
UNKNOWN FUEL OIL,1,0
UNKNOWN MATERIAL (CREATING GAS BUBBLES),1,0
UNKNOWN MATERIAL (POSSIBLY ANIMAL FAT),1,0
UNKNOWN MATERIAL (WHITE MATERIAL),1,0
UNTREATED WATER RUNOFF,1,0
URAN (32% UAN SOLUTION),1,0
VARIOUS OILS,1,0
VOLATILE ORGANIC COMPOUNDS (FLAMMABLE GAS),1,0
WATER BASED PAINT,1,0
"XYLENE (O-, M-, P-, & MIXTURES)",1,0
